iso3,country,year,agricultural_land_ha,co2_fossil_industry_t,co2_landuse_change_t,agricultural_land_pct,forest_land_pct,pesticide_use_per_cropland_kg_ha,transport_ghg_emissions_mtco2e,total_species_count,endemic_species_small_range,species_high_extinction_risk,pct_households_irrigation,pct_households_fertilizer,freshwater_resources_per_capita,hazardous_waste_generated_kt,so2_emissions_per_capita,nox_emissions_per_capita,climatological_disasters_count
MDG,Madagascar,2023,40895000.0,,,70.2904778274321,21.2962600550017,0.2,1.45,15965.0,2862.0,1416.0,57.0871359911579,11.1039854863621,17341.171336947707,45957.0,3.082503295252755,1.649990260802472,4.0
MWI,Malawi,2023,6050000.0,,,64.1705557912601,22.4406024607552,0.48,1.42,8977.0,190.0,103.0,1.31778067738424,76.4258339016515,,,,2.695549162989402,2.0
MYS,Malaysia,2023,8571000.0,,,26.0873535230558,57.7190381981434,3.65,50.57,19662.0,1029.0,721.0,,,,7505195.76,,0.0362989556860254,1.0
MDV,Maldives,2023,5900.0,,,19.7986577181208,2.75167785234899,23.67,0.99,2274.0,20.0,27.0,,,,,,,
MLI,Mali,2023,43279490.0,,,35.4694668863046,10.896663634352,0.0,4.2,4358.0,7.0,25.0,20.9879417735583,50.7117559575276,732.426846849757,,0.2419223506865798,0.5827496163371549,2.0
MLT,Malta,2023,8291.0,,,25.909375,1.4375,12.74,0.65,5818.0,16.0,73.0,,,195.28721981393213,41546.0,0.6038747307493653,9.09628983335022,
MHL,Marshall Islands,2023,7000.0,,,38.8888888888889,52.2222222222222,,0.1,1996.0,77.0,12.0,,,,,5.397043395326657,11.167381974248928,2.0
MRT,Mauritania,2023,39710000.0,,,38.5272145144077,0.287611138061512,1.52,0.0,4216.0,20.0,56.0,,,,,0.0328490006718076,3.9199047074823103,3.0
MUS,Mauritius,2023,85957.4,,,43.043264897346,19.4742113169755,7.13,1.06,3912.0,115.0,113.0,,,2352.5798042010915,21576.0,7.855173034590551,11.201872325103723,1.0
MEX,Mexico,2023,98545416.0,,,50.6933879986625,33.5959176419147,1.53,108.57,66986.0,5008.0,3330.0,,,,,,,2.0
